category,en,zh,definition,example,difficulty
general,fall,落下,跌倒,I fall every day.,1
general,rise,升起,上升,Can you rise?,1
general,lift,举起,抬高,Can you lift?,1
general,drop,掉落,落下,Let's drop together.,1
general,pick,捡,拾起,You should pick it.,1
general,cut,切,切割,You should cut it.,1
general,break,打破,损坏,I break every day.,1
general,fix,修理,修复,Can you fix?,1
general,build,建造,建筑,I build every day.,1
general,grow,生长,成长,Let's grow together.,1
general,die,死,死亡,Can you die?,1
general,live,生活,居住,Can you live?,1
general,born,出生,诞生,I born every day.,1
general,good,好,优质,A good {noun}.,1
general,bad,坏,劣质,A bad {noun}.,1
general,happy,快乐,高兴,It is very happy.,1
general,sad,悲伤,难过,It is very sad.,1
general,angry,生气,愤怒,A angry {noun}.,1
general,afraid,害怕,恐惧,A afraid {noun}.,1
general,brave,勇敢,无畏,A brave {noun}.,1
general,kind,善良,友善,It is very kind.,1
general,nice,好,友好,This is nice.,1
general,mean,刻薄,不友善,A mean {noun}.,1
general,polite,礼貌,有教养,This is polite.,1
general,rude,粗鲁,无礼,A rude {noun}.,1
general,busy,忙,繁忙,It is very busy.,1
general,free,空闲,有空,A free {noun}.,1
general,tired,累,疲劳,A tired {noun}.,1
general,hungry,饿,饥饿,A hungry {noun}.,1
general,thirsty,渴,口渴,This is thirsty.,1
general,full,饱,不饿,It is very full.,1
general,sick,病,生病,This is sick.,1
general,well,健康,身体好,A well {noun}.,1
general,healthy,健康,身体好,This is healthy.,1
general,strong,强壮,有力,A strong {noun}.,1
general,weak,虚弱,无力,A weak {noun}.,1
general,young,年轻,年纪小,It is very young.,1
general,old,年老,年纪大,It is very old.,1
general,new,新,新的,It is very new.,1
general,beautiful,美丽,漂亮,It is very beautiful.,1
general,ugly,丑,难看,A ugly {noun}.,1
general,clean,干净,整洁,A clean {noun}.,1
general,dirty,脏,污浊,A dirty {noun}.,1
general,rich,富有,有钱,A rich {noun}.,1
general,poor,贫穷,没钱,A poor {noun}.,1
general,cheap,便宜,价低,A cheap {noun}.,1
general,expensive,贵,价高,This is expensive.,1
general,easy,容易,不难,It is very easy.,1
general,hard,困难,不易,It is very hard.,1
general,difficult,困难,艰难,A difficult {noun}.,1
general,simple,简单,不复杂,A simple {noun}.,1
general,complex,复杂,繁复,A complex {noun}.,1
general,important,重要,关键,A important {noun}.,1
general,dangerous,危险,不安全,It is very dangerous.,1
general,safe,安全,无危险,It is very safe.,1
general,quiet,安静,无声,It is very quiet.,1
general,noisy,吵闹,喧哗,It is very noisy.,1
general,fast,快,迅速,It is very fast.,1
general,slow,慢,迟缓,It is very slow.,1
general,early,早,提前,A early {noun}.,1
general,late,晚,迟到,It is very late.,1
general,right,对的,正确,This is right.,1
general,wrong,错的,错误,A wrong {noun}.,1
general,true,真的,真实,It is very true.,1
general,false,假的,虚假,It is very false.,1
general,sure,确定,肯定,It is very sure.,1
general,ready,准备好,就绪,This is ready.,1
general,same,相同,一样,This is same.,1
general,different,不同,差异,This is different.,1
general,I,我,第一人称,Give I the pen.,1
general,you,你,第二人称,Give you the pen.,1
general,he,他,第三人称阳性,Give he the pen.,1
general,she,她,第三人称阴性,Give she the pen.,1
general,it,它,第三人称中性,Give it the pen.,1
general,we,我们,第一人称复数,Give we the pen.,1
general,they,他们,第三人称复数,they is my friend.,1
general,my,我的,物主代词,Give my the pen.,1
general,your,你的,物主代词,your is my friend.,1
general,his,他的,物主代词,Give his the pen.,1
general,her,她的,物主代词,Give her the pen.,1
general,its,它的,物主代词,Give its the pen.,1
general,our,我们的,物主代词,our is my friend.,1
general,their,他们的,物主代词,Give their the pen.,1
general,this,这个,指示代词,this is my friend.,1
general,that,那个,指示代词,Give that the pen.,1
general,these,这些,指示代词复数,these is my friend.,1
general,those,那些,指示代词复数,Give those the pen.,1
general,who,谁,疑问代词,who is my friend.,1
general,what,什么,疑问代词,what is my friend.,1
general,which,哪个,疑问代词,Give which the pen.,1
general,where,哪里,疑问副词,She speaks where.,1
general,when,何时,疑问副词,Do it when.,1
general,why,为什么,疑问副词,Do it why.,1
general,how,怎样,疑问副词,She speaks how.,1
general,a,一个,不定冠词,This is a.,1
general,an,一个,不定冠词元音前,This is an.,1
general,the,这个,定冠词,This is the.,1
general,some,一些,部分,This is some.,1
general,any,任何,任意,It is very any.,1
general,every,每个,全体,This is every.,1
general,all,全部,所有,A all {noun}.,1
general,many,许多,多,A many {noun}.,1
general,much,多,不可数多,A much {noun}.,1
general,little,少,不可数少,A little {noun}.,1
general,few,少,可数少,This is few.,1
general,and,和,并列,He is rich and happy.,1
general,or,或,选择,He is rich or happy.,1
general,but,但是,转折,I like apples but oranges.,1
general,because,因为,原因,I like apples because oranges.,1
general,so,所以,结果,He is rich so happy.,1
general,if,如果,条件,He is rich if happy.,1
general,when,当...时,时间,He is rich when happy.,1
general,while,当...时,期间,I like apples while oranges.,1
general,before,在...前,时间,This is before.,1
general,after,在...后,时间,This is after.,1
general,since,自从,时间,This is since.,1
general,until,直到,时间,This is until.,1
general,for,为了,目的,Go for the door.,1
general,of,的,所属,The book is of the table.,1
general,to,去,方向,Go to the door.,1
general,from,来自,来源,The book is from the table.,1
general,with,和...一起,伴随,The book is with the table.,1
general,without,没有,缺乏,Go without the door.,1
general,about,关于,涉及,Go about the door.,1
general,by,通过,方式,The book is by the table.,1
general,as,作为,角色,The book is as the table.,1
general,at,在,地点,The book is at the table.,1
general,on,在...上,接触,The book is on the table.,1
general,in,在...里,包含,The book is in the table.,1
general,very,非常,程度,Do it very.,1
general,too,太,过度,Do it too.,1
general,quite,相当,程度,She speaks quite.,1
general,really,真正,确实,Do it really.,1
general,almost,几乎,差不多,He runs almost.,1
general,already,已经,完成,Do it already.,1
general,yet,还,尚未,Do it yet.,1
general,still,仍然,持续,He runs still.,1
general,also,也,肯定,He runs also.,1
general,too,也,肯定句末,Do it too.,1
general,either,也,否定,He runs either.,1
general,always,总是,频率高,She speaks always.,1
general,usually,通常,频率中,He runs usually.,1
general,often,经常,频率较高,He runs often.,1
general,sometimes,有时,偶尔,Do it sometimes.,1
general,never,从不,频率零,He runs never.,1
general,ever,曾经,任何时间,Do it ever.,1
general,just,刚刚,刚才,Do it just.,1
general,now,现在,当前,She speaks now.,1
general,then,那时,当时,Do it then.,1
general,soon,很快,不久,He runs soon.,1
general,again,再次,重复,He runs again.,1
general,once,一次,频率,Do it once.,1
general,twice,两次,频率,She speaks twice.,1
general,together,一起,共同,She speaks together.,1
general,alone,单独,独自,He runs alone.,1
general,away,离开,离开,She speaks away.,1
general,back,回来,返回,Do it back.,1
general,out,出去,外出,She speaks out.,1
general,inside,里面,内部,He runs inside.,1
general,outside,外面,外部,She speaks outside.,1
general,above,上方,高处,Do it above.,1
general,below,下方,低处,He runs below.,1
general,around,周围,四周,He runs around.,1
general,through,穿过,通过,Do it through.,1
general,across,横过,跨越,She speaks across.,1
general,along,沿着,顺沿,She speaks along.,1
general,behind,后面,后方,He runs behind.,1
general,beyond,超出,之外,She speaks beyond.,1
general,near,附近,近处,She speaks near.,1
general,far,远处,远方,Do it far.,1
general,yes,是,肯定,This is yes.,1
general,no,不,否定,This is no.,1
general,please,请,礼貌,This is please.,1
general,thank,谢谢,感激,Let's thank together.,1
general,hello,你好,问候,This is hello.,1
general,hi,嗨,非正式问候,This is hi.,1
general,goodbye,再见,告别,This is goodbye.,1
general,bye,再见,非正式告别,This is bye.,1
general,sorry,对不起,道歉,This is sorry.,1
general,excuse,原谅,打扰,Let's excuse together.,1
general,oh,哦,感叹,This is oh.,1
general,wow,哇,惊叹,This is wow.,1
general,hey,嘿,招呼,This is hey.,1
general,ok,好的,同意,This is ok.,1
general,okay,可以,同意,This is okay.,1
general,study,学习,研习,This is study.,2
general,learn,学习,获得知识,I learn every day.,2
general,teach,教,传授,Can you teach?,2
general,understand,理解,领会,I understand every day.,2
general,think,思考,思维,I think every day.,2
general,know,知道,了解,I know every day.,2
general,remember,记住,记忆,Let's remember together.,2
general,forget,忘记,遗忘,I forget every day.,2
general,believe,相信,信任,I believe every day.,2
general,hope,希望,期望,I hope every day.,2
general,wish,希望,愿望,I wish every day.,2
general,dream,梦想,理想,This is dream.,2
general,feel,感觉,感知,Let's feel together.,2
general,mind,头脑,思维器官,A mind can help you.,2
general,idea,主意,想法,The idea is important.,2
general,thought,想法,思维,This is a thought.,2
general,opinion,意见,观点,This is a opinion.,2
general,knowledge,知识,学识,A knowledge can help you.,2
general,information,信息,消息,The information is important.,2
general,news,新闻,消息,The news is important.,2
general,message,信息,讯息,The message is important.,2
general,story,故事,叙述,A story can help you.,2
general,tale,传说,故事,The tale is important.,2
general,legend,传奇,传说,I have a legend.,2
general,history,历史,过去事件,A history can help you.,2
general,fact,事实,真实,I have a fact.,2
general,truth,真相,真实,The truth is important.,2
general,lie,谎言,虚假,This is a lie.,2
general,secret,秘密,隐藏,This is a secret.,2
general,mystery,谜,未知,The mystery is important.,2
general,puzzle,谜题,难题,The puzzle is important.,2
general,riddle,谜语,谜题,This is a riddle.,2
general,question,问题,疑问,The question is important.,2
general,answer,答案,解答,The answer is important.,2
general,problem,问题,难题,The problem is important.,2
general,solution,解决方案,解答,This is a solution.,2
general,result,结果, outcome,A result can help you.,2
general,reason,原因,理由,This is a reason.,2
general,cause,原因,导致,A cause can help you.,2
general,effect,效果,影响,I have a effect.,2
general,purpose,目的,目标,A purpose can help you.,2
general,goal,目标,目的,The goal is important.,2
general,aim,目标,瞄准,I have a aim.,2
general,plan,计划,规划,This is plan.,2
general,method,方法,方式,I have a method.,2
general,way,方式,方法,This is a way.,2
general,means,手段,方法,The means is important.,2
general,step,步骤,程序,I have a step.,2
general,process,过程,流程,I have a process.,2
general,practice,练习,训练,The practice is important.,2
general,exercise,练习,锻炼,This is a exercise.,2
general,training,训练,培养,I have a training.,2
general,experience,经验,经历,A experience can help you.,2
general,skill,技能,本领,The skill is important.,2
general,ability,能力,才能,A ability can help you.,2
general,talent,天赋,才华,This is a talent.,2
general,gift,天赋,礼物,I have a gift.,2
general,love,爱,喜爱,This is love.,2
general,like,喜欢,喜好,I like every day.,2
general,hate,讨厌,厌恶,I hate every day.,2
general,enjoy,享受,喜爱,Let's enjoy together.,2
general,prefer,更喜欢,偏好,Can you prefer?,2
general,mind,介意,在乎,Can you mind?,2
general,care,关心,在意,You should care it.,2
general,worry,担心,忧虑,You should worry it.,2
general,fear,恐惧,害怕,This is fear.,2
general,dread,恐惧,畏惧,I dread every day.,2
general,panic,恐慌,惊慌,This is panic.,2
general,surprise,惊讶,吃惊,This is surprise.,2
general,shock,震惊,惊愕,This is shock.,2
general,amaze,使惊讶,惊叹,I amaze every day.,2
general,astonish,使震惊,惊愕,Can you astonish?,2
general,excite,使兴奋,激动,You should excite it.,2
general,bore,使无聊,厌烦,I bore every day.,2
general,interest,使感兴趣,关注,Let's interest together.,2
general,please,使高兴,取悦,Let's please together.,2
general,satisfy,使满意,满足,Can you satisfy?,2
general,disappoint,使失望,失望,Let's disappoint together.,2
general,upset,使心烦,烦恼,This is upset.,2
general,comfort,安慰,抚慰,You should comfort it.,2
general,encourage,鼓励,激励,I encourage every day.,2
general,inspire,激励,鼓舞,You should inspire it.,2
general,motivate,激励,驱动,I motivate every day.,2
general,persuade,说服,劝服,Can you persuade?,2
general,convince,使确信,说服,You should convince it.,2
general,trust,信任,相信,You should trust it.,2
general,doubt,怀疑,质疑,Let's doubt together.,2
general,suspect,怀疑,猜测,You should suspect it.,2
general,assume,假设,假定,You should assume it.,2
general,suppose,假设,假定,Let's suppose together.,2
general,imagine,想象,设想,I imagine every day.,2
general,realize,意识到,明白,Can you realize?,2
general,recognize,认出,识别,You should recognize it.,2
general,notice,注意,觉察,Let's notice together.,2
general,observe,观察,观测,You should observe it.,2
general,discover,发现,找到,You should discover it.,2
general,invent,发明,创造,Let's invent together.,2
general,create,创造,创作,You should create it.,2
general,design,设计,规划,You should design it.,2
general,produce,生产,制造,Can you produce?,2
general,develop,发展,开发,Can you develop?,2
general,improve,改进,改善,You should improve it.,2
general,increase,增加,增长,You should increase it.,2
general,decrease,减少,降低,Let's decrease together.,2
general,raise,提高,提升,I raise every day.,2
general,lower,降低,减少,Let's lower together.,2
general,expand,扩大,扩张,You should expand it.,2
general,reduce,减少,缩减,You should reduce it.,2
general,save,节省,节约,I save every day.,2
general,spend,花费,消耗,You should spend it.,2
general,waste,浪费,挥霍,You should waste it.,2
general,lose,丢失,失去,I lose every day.,2
general,gain,获得,得到,I gain every day.,2
general,win,赢得,获胜,I win every day.,2
general,beat,击败,战胜,Can you beat?,2
general,fail,失败,未成功,I fail every day.,2
general,succeed,成功,达成,Let's succeed together.,2
general,achieve,实现,达成,Let's achieve together.,2
general,accomplish,完成,实现,Let's accomplish together.,2
general,complete,完成,完整,You should complete it.,2
general,job,工作,职业,This is a job.,2
general,work,工作,劳动,This is work.,2
general,career,职业,事业,I have a career.,2
general,profession,职业,专业,The profession is important.,2
general,business,商业,生意,A business can help you.,2
general,company,公司,企业,A company can help you.,2
general,office,办公室,工作场所,This is a office.,2
general,factory,工厂,制造场所,A factory can help you.,2
general,shop,商店,店铺,A shop can help you.,2
general,store,商店,店铺,This is a store.,2
general,market,市场,交易场所,I have a market.,2
general,bank,银行,金融机构,I have a bank.,2
general,hospital,医院,医疗机构,The hospital is important.,2
general,school,学校,教育机构,The school is important.,2
general,college,学院,高等院校,This is a college.,2
general,university,大学,高等学府,A university can help you.,2
general,library,图书馆,藏书场所,This is a library.,2
general,museum,博物馆,展览场所,This is a museum.,2
general,theater,剧院,演出场所,A theater can help you.,2
general,cinema,电影院,放映场所,A cinema can help you.,2
general,restaurant,餐厅,用餐场所,This is a restaurant.,2
general,cafe,咖啡馆,休闲场所,This is a cafe.,2
general,hotel,酒店,住宿场所,The hotel is important.,2
general,guest,客人,访客,This is a guest.,2
general,customer,顾客,消费者,This is a customer.,2
general,client,客户,委托人,A client can help you.,2
general,boss,老板,雇主,The boss is important.,2
general,manager,经理,管理者,I have a manager.,2
general,leader,领导,带头人,A leader can help you.,2
general,employee,员工,雇员,A employee can help you.,2
general,worker,工人,劳动者,The worker is important.,2
general,staff,员工,全体职员,A staff can help you.,2
general,team,团队,队伍,A team can help you.,2
general,group,小组,群体,The group is important.,2
general,partner,伙伴,合作者,The partner is important.,2
general,friend,朋友,好友,I have a friend.,2
general,neighbor,邻居,附近居民,The neighbor is important.,2
general,stranger,陌生人,不认识的人,I have a stranger.,2
general,enemy,敌人,敌对方,This is a enemy.,2
general,society,社会,社会群体,A society can help you.,2
general,community,社区,共同体,The community is important.,2
general,public,公众,大众,This is public.,2
general,people,人,人民,The people is important.,2
general,citizen,公民,国民,I have a citizen.,2
general,government,政府,政权,The government is important.,2
general,politics,政治,政治活动,I have a politics.,2
general,election,选举,投票,The election is important.,2
general,vote,投票,表决,This is vote.,2
general,law,法律,法规,A law can help you.,2
general,rule,规则,规章,The rule is important.,2
general,policy,政策,方针,This is a policy.,2
general,power,权力,力量,The power is important.,2
general,authority,权威,权力,This is a authority.,2
general,freedom,自由,自由权,I have a freedom.,2
general,right,权利,权益,This is a right.,2
general,duty,义务,责任,I have a duty.,2
general,responsibility,责任,职责,I have a responsibility.,2
general,culture,文化,文明,This is a culture.,2
general,tradition,传统,惯例,I have a tradition.,2
general,custom,习俗,风俗,This is a custom.,2
general,religion,宗教,信仰,This is a religion.,2
general,language,语言,交流工具,I have a language.,2
general,education,教育,培养,This is a education.,2
general,science,科学,自然科学,A science can help you.,2
general,technology,技术,科技,I have a technology.,2
general,economy,经济,经济体系,The economy is important.,2
general,industry,工业,制造业,This is a industry.,2
general,agriculture,农业,种植业,I have a agriculture.,2
general,environment,环境,生态环境,This is a environment.,2
general,nature,自然,自然界,I have a nature.,2
general,world,世界,地球,This is a world.,2
general,country,国家,主权国家,A country can help you.,2
general,nation,民族,国家,I have a nation.,2
general,state,州/国家,政区,I have a state.,2
general,city,城市,都市,This is a city.,2
general,town,城镇,市镇,This is a town.,2
general,village,村庄,村落,This is a village.,2
general,capital,首都,政治中心,The capital is important.,2
general,border,边界,国界,A border can help you.,2
general,empire,帝国,帝国,A empire can help you.,2
general,kingdom,王国,王国,This is a kingdom.,2
general,republic,共和国,共和政体,A republic can help you.,2
general,democracy,民主,民主制,A democracy can help you.,2
general,war,战争,武装冲突,The war is important.,2
general,peace,和平,和平状态,A peace can help you.,2
general,fight,战斗,打斗,This is fight.,2
general,battle,战役,战斗,This is a battle.,2
general,victory,胜利,获胜,I have a victory.,2
general,defeat,失败,战败,This is defeat.,2
general,soldier,士兵,军人,I have a soldier.,2
general,army,军队,武装力量,A army can help you.,2
general,weapon,武器,兵器,This is a weapon.,2
general,gun,枪,火器,The gun is important.,2
general,bomb,炸弹,爆炸物,I have a bomb.,2
general,violence,暴力,武力,I have a violence.,2
general,crime,犯罪,违法行为,The crime is important.,2
general,police,警察,执法机构,The police is important.,2
general,prison,监狱,监禁场所,A prison can help you.,2
general,court,法院,司法机构,A court can help you.,2
general,judge,法官,审判者,I have a judge.,2
general,lawyer,律师,法律工作者,This is a lawyer.,2
general,trial,审判,庭审,This is a trial.,2
general,justice,正义,公正,This is a justice.,2
general,fair,公平,公正,It is very fair.,2
general,phone,电话,通讯工具,A phone can help you.,2
general,telephone,电话,通讯工具,The telephone is important.,2
general,mobile,手机,移动电话,I have a mobile.,2
general,cellphone,手机,移动电话,A cellphone can help you.,2
general,message,信息,消息,A message can help you.,2
general,letter,信,书信,The letter is important.,2
general,email,电子邮件,数字邮件,This is a email.,2
general,post,邮寄,投递,This is post.,2
general,mail,邮件,信件,I have a mail.,2
general,address,地址,位置,This is a address.,2
general,number,号码,数字,The number is important.,2
general,code,代码,编码,The code is important.,2
general,signal,信号,讯号,This is a signal.,2
general,sound,声音,声响,I have a sound.,2
general,noise,噪音,杂音,This is a noise.,2
general,voice,声音,嗓音,I have a voice.,2
general,speech,演讲,讲话,I have a speech.,2
general,conversation,对话,交谈,I have a conversation.,2
general,discussion,讨论,商议,This is a discussion.,2
general,argument,争论,辩论,The argument is important.,2
general,debate,辩论,争论,This is debate.,2
general,meeting,会议,集会,I have a meeting.,2
general,conference,会议,大型会议,A conference can help you.,2
general,interview,面试,面谈,I have a interview.,2
general,presentation,演示,展示,I have a presentation.,2
general,report,报告,汇报,I have a report.,2
general,document,文件,文档,The document is important.,2
general,paper,论文,纸张,A paper can help you.,2
general,article,文章,论文,The article is important.,2
general,news,新闻,消息,This is a news.,2
general,newspaper,报纸,新闻纸,I have a newspaper.,2
general,magazine,杂志,期刊,A magazine can help you.,2
general,book,书,书籍,The book is important.,2
general,novel,小说,虚构长篇,I have a novel.,2
general,poem,诗歌,韵文,I have a poem.,2
general,story,故事,叙述,The story is important.,2
general,literature,文学,文学作品,This is a literature.,2
general,language,语言,交流工具,The language is important.,2
general,word,单词,词汇,A word can help you.,2
general,sentence,句子,句子,I have a sentence.,2
general,paragraph,段落,段落,This is a paragraph.,2
general,chapter,章节,章节,A chapter can help you.,2
general,author,作者,作家,A author can help you.,2
general,writer,作家,作者,This is a writer.,2
general,reader,读者,阅读者,I have a reader.,2
general,publisher,出版商,发行人,I have a publisher.,2
general,media,媒体,传媒,The media is important.,2
general,internet,互联网,网络,This is a internet.,2
general,web,网页,网络,This is a web.,2
general,website,网站,网站,I have a website.,2
general,page,页面,网页,A page can help you.,2
general,link,链接,连接,A link can help you.,2
general,click,点击,点击,You should click it.,2
general,screen,屏幕,显示屏,I have a screen.,2
general,monitor,显示器,屏幕,I have a monitor.,2
general,keyboard,键盘,输入设备,A keyboard can help you.,2
general,mouse,鼠标,输入设备,A mouse can help you.,2
general,computer,电脑,计算机,The computer is important.,2
general,laptop,笔记本,便携电脑,The laptop is important.,2
general,tablet,平板,平板电脑,A tablet can help you.,2
general,software,软件,程序,The software is important.,2
general,hardware,硬件,设备,I have a hardware.,2
general,program,程序,软件,I have a program.,2
general,application,应用,应用程序,This is a application.,2
general,file,文件,档案,I have a file.,2
general,folder,文件夹,目录,A folder can help you.,2
general,data,数据,资料,I have a data.,2
general,information,信息,消息,A information can help you.,2
general,system,系统,体系,I have a system.,2
general,network,网络,网状系统,This is a network.,2
general,server,服务器,服务主机,A server can help you.,2
general,database,数据库,数据仓库,I have a database.,2
general,password,密码,口令,A password can help you.,2
general,username,用户名,账号,I have a username.,2
general,account,账户,账号,This is a account.,2
general,login,登录,登入,This is login.,2
general,logout,登出,登出,This is logout.,2
general,register,注册,登记,Let's register together.,2
general,sign,签名,签署,This is sign.,2
general,game,游戏,娱乐,The game is important.,2
general,sport,运动,体育,The sport is important.,2
general,match,比赛,竞赛,A match can help you.,2
general,competition,竞赛,比赛,This is a competition.,2
general,contest,竞赛,比赛,I have a contest.,2
general,tournament,锦标赛,联赛,This is a tournament.,2
general,championship,冠军赛,锦标赛,A championship can help you.,2
general,league,联赛,联盟,This is a league.,2
general,team,队伍,团队,The team is important.,2
general,player,选手,运动员,The player is important.,2
general,coach,教练,训练师,The coach is important.,2
general,fan,粉丝,爱好者,This is a fan.,2
general,audience,观众,听众,This is a audience.,2
general,spectator,观众,旁观者,This is a spectator.,2
general,crowd,人群,大众,I have a crowd.,2
general,music,音乐,声音艺术,A music can help you.,2
general,song,歌曲,歌曲,I have a song.,2
general,dance,舞蹈,跳舞,This is dance.,2
general,concert,音乐会,音乐演出,The concert is important.,2
general,performance,演出,表演,I have a performance.,2
general,show,演出,节目,This is a show.,2
general,movie,电影,影片,This is a movie.,2
general,film,电影,影片,The film is important.,2
general,video,视频,录像,A video can help you.,2
general,picture,图片,图像,I have a picture.,2
general,photo,照片,相片,A photo can help you.,2
general,photograph,照片,照片,This is a photograph.,2
general,camera,相机,摄影机,This is a camera.,2
general,television,电视,电视,I have a television.,2
general,TV,电视,电视,A TV can help you.,2
general,radio,收音机,广播,I have a radio.,2
general,CD,光盘,光盘,I have a CD.,2
general,DVD,光盘,数字光盘,The DVD is important.,2
general,player,播放器,播放设备,I have a player.,2
general,theater,剧院,剧场,The theater is important.,2
general,cinema,电影院,影院,The cinema is important.,2
general,museum,博物馆,展览馆,I have a museum.,2
general,gallery,画廊,美术馆,The gallery is important.,2
general,exhibition,展览,展示,The exhibition is important.,2
general,festival,节日,庆典,I have a festival.,2
general,celebration,庆祝,庆典,I have a celebration.,2
general,party,聚会,派对,This is a party.,2
general,event,事件,活动,I have a event.,2
general,activity,活动,行动,A activity can help you.,2
general,hobby,爱好,嗜好,A hobby can help you.,2
general,interest,兴趣,爱好,The interest is important.,2
general,fun,有趣,娱乐,This is fun.,2
general,entertainment,娱乐,消遣,I have a entertainment.,2
general,leisure,休闲,闲暇,The leisure is important.,2
general,vacation,度假,假期,A vacation can help you.,2
general,holiday,假期,节日,I have a holiday.,2
general,travel,旅行,旅游,This is travel.,2
general,trip,旅行,出行,A trip can help you.,2
general,tour,旅游,观光,I have a tour.,2
general,journey,旅程,长途旅行,The journey is important.,2
general,adventure,冒险,历险,This is a adventure.,2
general,explore,探索,探险,I explore every day.,2
general,discover,发现,找到,Can you discover?,2
general,camp,露营,扎营,This is camp.,2
general,hike,徒步,远足,This is hike.,2
general,climb,攀登,爬山,Can you climb?,2
general,swim,游泳,水上运动,Let's swim together.,2
general,surf,冲浪,冲浪运动,This is surf.,2
general,ski,滑雪,雪上运动,This is ski.,2
general,skate,滑冰,冰上运动,Let's skate together.,2
